Date,Adj Close,Adj Close SMA5,SP_Ajclose,DJ_Ajclose,EG_Ajclose,EU_Price,OS_Price,SF_Price,USB_Price,PLT_Price,USDI_Price,GDX_Adj Close,USO_Adj Close,Target_Adj_Close,Target_Adj_5d,Target_Adj_30d
2011-12-15,152.330002,152.330002,105.44123799999998,11868.80957,70.43175500000002,1.3018,93.42,53604,1.911,1414.65,80.34100000000002,48.973877,36.130001,155.229996,156.03999299999995,169.559998
2011-12-16,155.229996,153.779999,105.597549,11866.38965,72.364037,1.3035,93.79,53458,1.851,1420.25,80.249,49.921513,36.27,154.869995,156.309998,171.050003
2011-12-19,154.869995,154.143331,104.468536,11766.25977,62.509384,1.2995,94.09,52961,1.81,1411.1,80.207,48.490578,36.200001,156.979996,154.910004,167.639999
2011-12-20,156.979996,154.85249725,107.629784,12103.58008,64.731514,1.3079,95.55,53487,1.927,1434.75,80.273,50.215282,37.560001,157.160004,151.029999,167.179993
2011-12-21,157.160004,155.3139986,107.838242,12107.74023,66.180725,1.3045,99.01,53148,1.97,1429.05,80.35,50.186852,38.110001,156.03999299999995,150.339996,169.699997
2011-12-22,156.03999299999995,156.05599679999997,108.793526,12169.65039,67.388397,1.3051,99.47,52894,1.953,1425.9,80.306,49.656178,38.279999,156.309998,151.990005,168.5
2011-12-23,156.309998,156.2719972,109.76622,12294.0,69.17576600000001,1.3043,99.85,53067,2.021,1426.45,80.236,50.169365,38.490002,154.910004,155.919998,168.020004
2011-12-27,154.910004,156.279999,109.853065,12291.34961,65.359505,1.3068,101.28,52711,2.002,1438.55,80.135,49.295036,39.060001,151.029999,156.71000700000005,167.139999
2011-12-28,151.029999,155.0899996,108.411423,12151.41016,64.441666,1.2936,99.59,50636,1.921,1386.8,80.883,47.574883,38.34,150.339996,157.779999,167.509995
2011-12-29,150.339996,153.725998,109.531738,12287.04004,65.45611600000001,1.2962,99.82,50218,1.899,1379.0,80.911,48.658298,38.41,151.990005,157.199997,167.119995
2011-12-30,151.990005,152.9160004,108.993294,12217.55957,66.229027,1.2948,99.06,51445,1.876,1403.25,80.52199999999998,48.876881,38.110001,155.919998,156.5,168.110001
2012-01-03,155.919998,152.8380004,110.730225,12397.37988,71.204666,1.3051,102.91,53109,1.956,1436.2,79.91199999999998,51.129227,39.689999,156.71000700000005,158.639999,168.0
2012-01-04,156.71000700000005,153.198001,110.90391499999998,12418.41992,70.624977,1.2942,103.29,52761,1.984,1426.05,80.425,51.072212,39.77,157.779999,159.669998,167.350006
2012-01-05,157.779999,154.54800100000003,111.199211,12415.7002,70.721588,1.278,101.34,52740,1.996,1421.25,81.25,51.224262,39.169998,157.199997,160.380005,171.020004
2012-01-06,157.199997,155.9200012,110.912621,12359.91992,69.513908,1.2721,101.92,51868,1.958,1406.55,81.597,50.701565,39.220001,156.5,159.259995,172.940002
2012-01-09,156.5,156.8220002,111.181839,12392.69043,69.513908,1.2767,101.31,51749,1.956,1426.15,81.388,50.986671,39.080002,158.639999,160.5,173.020004
2012-01-10,158.639999,157.36600040000002,112.145851,12462.46973,69.41729000000001,1.2772,102.17,52566,1.963,1467.1,81.101,51.765972,39.34,159.669998,161.600006,172.229996
2012-01-11,159.669998,157.9579986,112.206642,12449.4502,69.272377,1.2704,100.98,52607,1.905,1499.55,81.61399999999998,51.613911,38.919998,160.380005,161.220001,171.699997
2012-01-12,160.380005,158.4779998,112.47583799999998,12471.01953,68.257919,1.2826,99.25,52770,1.926,1498.95,81.036,52.003555,38.060001,159.259995,162.070007,173.490005
2012-01-13,159.259995,158.8899994,111.893974,12422.05957,67.629936,1.2677,99.05,52001,1.871,1493.45,81.791,51.366817,38.16,160.5,163.160004,164.28999299999995
2012-01-17,160.5,159.68999939999998,112.328224,12482.07031,67.726555,1.274,101.0,53207,1.858,1528.4,81.429,50.540005,38.790001,161.600006,162.009995,166.610001
2012-01-18,161.600006,160.28200080000002,113.570152,12578.9502,67.581627,1.2854,101.14,53428,1.898,1527.95,80.822,50.597027,38.830002,161.220001,166.419998,166.339996
2012-01-19,161.220001,160.59200140000002,114.16938,12623.98047,66.277336,1.2965,100.36,53387,1.982,1524.75,80.405,49.561138,38.689999,162.070007,168.970001,165.649994
2012-01-20,162.070007,160.93000179999999,114.594948,12720.48047,65.649345,1.2938,98.14,54825,2.025,1537.9,80.406,49.589649,37.779999,163.160004,168.029999,162.699997
2012-01-23,163.160004,161.7100036,114.299622,12708.82031,65.84258299999999,1.3030000000000002,99.93,55565,2.0580000000000003,1568.65,79.934,50.378445,38.389999,162.009995,169.309998,163.630005
2012-01-24,162.009995,162.0120026,114.16938,12675.75,64.345062,1.3022,99.23,55365,2.063,1550.75,80.02600000000002,49.24752,38.099998,166.419998,169.559998,165.279999
2012-01-25,166.419998,162.976001,115.124702,12758.84961,67.919785,1.311,99.75,56411,2.002,1583.65,79.717,52.488239,38.349998,168.970001,171.050003,166.380005
2012-01-27,168.970001,164.526001,114.48203999999998,12660.45996,73.16755699999999,1.3226,99.78,57165,1.891,1624.6,79.01100000000002,54.30342099999999,38.299999,168.029999,167.639999,165.070007
2012-01-30,168.029999,165.7179994,114.091202,12653.71973,72.098,1.3127,98.95,56992,1.846,1612.8,79.30199999999998,53.657177,38.009998,169.309998,167.179993,162.300003
2012-01-31,169.309998,166.9479982,114.047813,12632.91016,73.459251,1.3079,98.28,56422,1.795,1593.75,79.417,53.657177,37.82,169.559998,169.699997,159.570007
2012-02-01,169.559998,168.45799879999998,115.046532,12716.45996,73.702339,1.3159,97.16,56834,1.83,1620.95,79.033,53.752213,37.380001,171.050003,168.5,161.080002
2012-02-02,171.050003,169.3839998,115.228912,12705.41016,75.355293,1.3146,96.59,57023,1.823,1630.3,79.11,54.617039,37.130001,167.639999,168.020004,161.300003
2012-02-03,167.639999,169.1179994,116.844284,12862.23047,71.75769,1.3144,97.77,56161,1.924,1625.35,79.057,53.638172,37.59,167.179993,167.139999,161.589996
2012-02-06,167.179993,168.94799819999997,116.76613600000002,12845.12988,70.882599,1.3134,97.08,56426,1.901,1623.95,79.186,53.39107900000001,37.330002,169.699997,167.509995,160.130005
2012-02-07,169.699997,169.02599800000002,117.061401,12878.2002,70.445045,1.3266,98.75,57265,1.977,1649.25,78.675,53.105972,37.950001,168.5,167.119995,160.21000700000005
2012-02-08,168.5,168.8139984,117.408775,12883.9502,68.354538,1.3258,99.05,56821,1.982,1665.55,78.734,52.782852,38.040001,168.020004,168.110001,159.570007
2012-02-09,168.020004,168.2079986,117.556435,12890.45996,67.479446,1.3283,99.8,57177,2.036,1660.0,78.652,52.50724399999999,38.330002,167.139999,168.0,161.529999
2012-02-10,167.139999,168.1079986,116.687958,12801.23047,65.486183,1.3175,99.05,56915,1.984,1661.75,79.226,51.78497700000001,38.02,167.509995,167.350006,164.399994
2012-02-13,167.509995,168.173999,117.556435,12874.04004,64.805557,1.3194,100.79,56664,1.978,1649.05,79.045,51.604408,38.689999,167.119995,171.020004,163.240005
2012-02-14,167.119995,167.65799859999998,117.408775,12878.28027,63.590137,1.3119,101.0,56416,1.938,1634.25,79.694,51.100712,38.84,168.110001,172.940002,161.509995
2012-02-15,168.110001,167.5799988,116.861656,12780.9502,64.95139300000001,1.3071,101.87,56303,1.933,1635.0,79.783,50.901142,39.18,168.0,173.020004,161.279999
2012-02-16,168.0,167.575998,118.155678,12904.08008,66.21543100000001,1.3141,102.33,56216,1.984,1630.65,79.455,52.222141,39.279999,167.350006,172.229996,162.119995
2012-02-17,167.350006,167.6179994,118.468315,12949.87012,65.875107,1.3152,104.03,55926,2.0,1635.6,79.456,51.46185300000001,39.75,171.020004,171.699997,162.940002
2012-02-21,171.020004,168.3200012,118.520416,12965.69043,70.0075,1.3241,105.82,57157,2.061,1690.85,79.13600000000002,53.048946,40.580002,172.940002,173.490005,159.889999
2012-02-22,172.940002,169.4840026,118.13831299999998,12938.66992,71.80630500000002,1.3245,105.95,57257,2.002,1725.25,79.303,54.008816,40.59,173.020004,164.28999299999995,157.21000700000005
2012-02-23,173.020004,170.4660032,118.65936299999998,12984.69043,72.341087,1.3369,108.68,58677,1.996,1724.65,78.88600000000002,54.417465,41.369999,172.229996,166.610001,158.309998
